2022-06-27 16:17:23|6 received
2022-06-27 16:17:23|waiting for 8
2022-06-27 16:17:26|20 received
2022-06-27 16:17:26|waiting for 3
2022-06-27 16:17:30|10 received
2022-06-27 16:17:30|waiting for 26
2022-06-27 16:17:34|12 received
2022-06-27 16:17:34|waiting for 24
2022-06-27 16:17:36|9 received
2022-06-27 16:17:36|waiting for 29
2022-06-27 16:17:44|8 received
2022-06-27 16:17:44|waiting for 27
2022-06-27 16:17:47|26 received
2022-06-27 16:17:47|waiting for 21
2022-06-27 16:17:48|3 received
2022-06-27 16:17:48|waiting for 1
2022-06-27 16:17:51|24 received
2022-06-27 16:17:51|waiting for 19
2022-06-27 16:17:53|29 received
2022-06-27 16:17:53|waiting for 17
2022-06-27 16:18:01|27 received
2022-06-27 16:18:01|waiting for 23
2022-06-27 16:18:04|21 received
2022-06-27 16:18:04|waiting for 14
2022-06-27 16:18:09|19 received
2022-06-27 16:18:09|waiting for 7
2022-06-27 16:18:10|1 received
2022-06-27 16:18:10|waiting for 15
2022-06-27 16:18:11|17 received
2022-06-27 16:18:11|waiting for 25
2022-06-27 16:18:17|23 received
2022-06-27 16:18:24|14 received
2022-06-27 16:18:26|15 received
2022-06-27 16:18:27|25 received
2022-06-27 16:18:30|7 received
2022-06-27 16:18:35|global epoch: 2, loss: 1.49160228801679, acc: 0.609499990940094
2022-06-27 16:18:35|waiting for 5
2022-06-27 16:18:35|waiting for 22
2022-06-27 16:18:36|waiting for 15
2022-06-27 16:18:37|waiting for 9
2022-06-27 16:18:37|waiting for 16
2022-06-27 16:18:54|22 received
2022-06-27 16:18:54|waiting for 19
2022-06-27 16:18:56|16 received
2022-06-27 16:18:56|15 received
2022-06-27 16:18:56|waiting for 24
2022-06-27 16:18:56|waiting for 3
2022-06-27 16:18:59|5 received
2022-06-27 16:18:59|waiting for 11
2022-06-27 16:19:00|9 received
2022-06-27 16:19:00|waiting for 0
2022-06-27 16:19:10|19 received
2022-06-27 16:19:10|waiting for 4
2022-06-27 16:19:12|24 received
2022-06-27 16:19:12|waiting for 21
2022-06-27 16:19:18|3 received
2022-06-27 16:19:18|waiting for 27
2022-06-27 16:19:20|11 received
2022-06-27 16:19:20|waiting for 8
2022-06-27 16:19:21|0 received
2022-06-27 16:19:21|waiting for 13
2022-06-27 16:19:29|21 received
2022-06-27 16:19:29|waiting for 10
2022-06-27 16:19:31|4 received
2022-06-27 16:19:31|waiting for 6
2022-06-27 16:19:34|27 received
2022-06-27 16:19:34|waiting for 25
2022-06-27 16:19:41|8 received
2022-06-27 16:19:41|waiting for 12
2022-06-27 16:19:42|13 received
2022-06-27 16:19:42|waiting for 7
2022-06-27 16:19:50|10 received
2022-06-27 16:19:50|waiting for 29
2022-06-27 16:19:52|6 received
2022-06-27 16:19:52|waiting for 20
2022-06-27 16:19:53|25 received
2022-06-27 16:19:53|waiting for 18
2022-06-27 16:20:03|12 received
2022-06-27 16:20:03|waiting for 23
2022-06-27 16:20:04|7 received
2022-06-27 16:20:04|waiting for 17
2022-06-27 16:20:07|29 received
